parameter,level,value,termination_reason,heel_reached,mawp_exceeded,results_truncated_at_mawp,simulation_duration_days,voyage_simulation_duration_days,time_to_min_heel_days,elapsed_time_to_min_heel_days,voyage_time_to_min_heel_days,time_to_mawp_days,final_fill_pct,max_pressure_bar,pressure_at_termination_bar,pressure_margin_to_mawp_bar,total_bog_removed_kg,bog_used_as_fuel_kg,bog_excess_kg,bog_removed_lng_kg,bog_removed_conventional_kg,conventional_operation_days,requested_fuel_kg,fuel_supplied_kg,lng_supply_shortfall_kg,unserved_fuel_kg,pump_energy_kWh,compressor_energy_kWh,mechanical_energy_kWh,specific_mechanical_energy_kWh_per_t,pbu_thermal_energy_kWh,startup_pbu_thermal_energy_kWh,operational_pbu_thermal_energy_kWh,evaporator_evaporation_energy_kWh,evaporator_internal_superheat_energy_kWh,evaporator_thermal_energy_kWh,superheater_thermal_energy_kWh,total_process_thermal_energy_kWh,startup_time_days,pressure_recovery_time_days,pbu_pressurization_time_days,bog_balance_error_kg
baseline,base,,minimum_heel,True,False,False,10.040740740740741,10.040740740740741,10.040740740740741,10.040740740740741,10.040740740740741,,4.999526594296116,7.367806391309327,7.347349309566861,0.7321936086906726,3782.455741527162,109.21648227788347,3673.2392592492783,109.21648227788347,3673.2392592492783,4.0,242611.54231596235,242611.54231596235,0.0,0.0,77.3100633803743,0.0,77.3100633803743,0.3186578125771544,0.0,0.0,0.0,33859.74510177029,18606.686326041043,52466.43142781133,6219.4046284101105,58685.836056221444,0.0,0.0,0.0,0.0
tank_ins_scale,low,0.5,minimum_heel,True,False,False,10.19386574074074,10.19386574074074,10.19386574074074,10.19386574074074,10.19386574074074,,4.999366773453651,5.603150571828949,5.603150571828949,2.4968494281710507,0.0,0.0,0.0,0.0,0.0,4.0,246927.4096500019,246927.4096500019,0.0,0.0,97.94968616011815,0.0,97.94968616011815,0.39667401160103405,0.0,0.0,0.0,35861.67318679566,18907.87145902436,54769.54464582003,6370.003226009971,61139.54787183,0.0,0.0,0.0,0.0
tank_ins_scale,base,1.0,minimum_heel,True,False,False,10.040740740740741,10.040740740740741,10.040740740740741,10.040740740740741,10.040740740740741,,4.999526594296116,7.367806391309327,7.347349309566861,0.7321936086906726,3782.455741527162,109.21648227788347,3673.2392592492783,109.21648227788347,3673.2392592492783,4.0,242611.54231596235,242611.54231596235,0.0,0.0,77.3100633803743,0.0,77.3100633803743,0.3186578125771544,0.0,0.0,0.0,33859.74510177029,18606.686326041043,52466.43142781133,6219.4046284101105,58685.836056221444,0.0,0.0,0.0,0.0
tank_ins_scale,high,1.5,minimum_heel,True,False,False,9.440393518518519,9.440393518518519,9.440393518518519,9.440393518518519,9.440393518518519,,4.999862326145702,8.05400780755615,8.05400780755615,0.045992192443849333,6634.683395657026,1850.8628849750921,4783.820510681934,1850.8628849750921,4783.820510681934,3.4405092592592594,241459.99192373562,241459.99192373562,0.0,0.0,58.332670896975024,0.0,58.332670896975024,0.2415831725671523,0.0,0.0,0.0,32527.122977887815,18542.245767963825,51069.368745851636,6044.53344945004,57113.90219530168,0.0,0.0,0.0,0.0
initial_fill,low,0.75,minimum_heel,True,False,False,7.617361111111111,7.617361111111111,7.617361111111111,7.617361111111111,7.617361111111111,,4.9999092556350195,5.964886806729969,5.964886806729969,2.1351131932700307,0.0,0.0,0.0,0.0,0.0,2.0,221675.82984810695,221675.82984810695,0.0,0.0,69.23719789864117,0.0,69.23719789864117,0.31233534998417617,0.0,0.0,0.0,30893.790854327828,17170.607228784953,48064.398083112785,5524.320631549494,53588.718714662275,0.0,0.0,0.0,0.0
initial_fill,base,0.83,minimum_heel,True,False,False,10.040740740740741,10.040740740740741,10.040740740740741,10.040740740740741,10.040740740740741,,4.999526594296116,7.367806391309327,7.347349309566861,0.7321936086906726,3782.455741527162,109.21648227788347,3673.2392592492783,109.21648227788347,3673.2392592492783,4.0,242611.54231596235,242611.54231596235,0.0,0.0,77.3100633803743,0.0,77.3100633803743,0.3186578125771544,0.0,0.0,0.0,33859.74510177029,18606.686326041043,52466.43142781133,6219.4046284101105,58685.836056221444,0.0,0.0,0.0,0.0
initial_fill,high,0.9,minimum_heel,True,False,False,10.882407407407408,10.882407407407408,10.882407407407408,10.882407407407408,10.882407407407408,,4.999506582592157,7.306134057104709,7.301522078396749,0.793865942895291,4461.294251133915,2277.768059015785,2183.52619211813,2277.768059015785,2183.52619211813,4.0,266334.13283231563,266334.13283231563,0.0,0.0,82.96786820545385,0.0,82.96786820545385,0.3115179692634085,0.0,0.0,0.0,36827.954347803,20661.159168441856,57489.11351624486,6389.201768627734,63878.315284872595,0.0,0.0,0.0,0.0
T_amb,low,278.15,minimum_heel,True,False,False,10.07974537037037,10.07974537037037,10.07974537037037,10.07974537037037,10.07974537037037,,4.999151630750011,7.181404591880948,7.1516558829187336,0.9185954081190513,2729.0455640609316,188.26072924981236,2540.7848348111193,188.26072924981236,2540.7848348111193,4.0,243710.89778956122,243710.89778956122,0.0,0.0,82.111425655971,0.0,82.111425655971,0.33692143601585,0.0,0.0,0.0,34274.934883808084,18682.322067266006,52957.25695107408,6266.387325263677,59223.644276337756,0.0,0.0,0.0,0.0
T_amb,base,293.15,minimum_heel,True,False,False,10.040740740740741,10.040740740740741,10.040740740740741,10.040740740740741,10.040740740740741,,4.999526594296116,7.367806391309327,7.347349309566861,0.7321936086906726,3782.455741527162,109.21648227788347,3673.2392592492783,109.21648227788347,3673.2392592492783,4.0,242611.54231596235,242611.54231596235,0.0,0.0,77.3100633803743,0.0,77.3100633803743,0.3186578125771544,0.0,0.0,0.0,33859.74510177029,18606.686326041043,52466.43142781133,6219.4046284101105,58685.836056221444,0.0,0.0,0.0,0.0
T_amb,high,308.15,minimum_heel,True,False,False,10.00162037037037,10.00162037037037,10.00162037037037,10.00162037037037,10.00162037037037,,4.999169934919954,7.559786105863236,7.5583336159358385,0.5402138941367634,4808.087805292431,5.1545496955583605,4802.933255596873,5.1545496955583605,4802.933255596873,4.0,241508.92465994923,241508.92465994923,0.0,0.0,72.16939675974425,0.0,72.16939675974425,0.29882703863370935,0.0,0.0,0.0,33456.00465750104,18531.5729361328,51987.57759363385,6164.7212591416,58152.29885277545,0.0,0.0,0.0,-9.094947017729282e-13
