profile,system_key,configuration,source,termination_reason,heel_reached,mawp_exceeded,results_truncated_at_mawp,simulation_duration_days,voyage_simulation_duration_days,time_to_min_heel_days,elapsed_time_to_min_heel_days,voyage_time_to_min_heel_days,time_to_mawp_days,final_fill_pct,max_pressure_bar,pressure_at_termination_bar,pressure_margin_to_mawp_bar,total_bog_removed_kg,bog_used_as_fuel_kg,bog_excess_kg,bog_removed_lng_kg,bog_removed_conventional_kg,conventional_operation_days,requested_fuel_kg,fuel_supplied_kg,lng_supply_shortfall_kg,unserved_fuel_kg,pump_energy_kWh,compressor_energy_kWh,mechanical_energy_kWh,specific_mechanical_energy_kWh_per_t,pbu_thermal_energy_kWh,startup_pbu_thermal_energy_kWh,operational_pbu_thermal_energy_kWh,evaporator_evaporation_energy_kWh,evaporator_internal_superheat_energy_kWh,evaporator_thermal_energy_kWh,superheater_thermal_energy_kWh,total_process_thermal_energy_kWh,startup_time_days,pressure_recovery_time_days,pbu_pressurization_time_days,bog_balance_error_kg,planned_voyage_duration_days,completed_planned_window
LNG,PBU,FGSS 1 (PBU),simulation,profile_end,False,False,False,6.056481481481481,6.0,,,,,6.8161776493943895,7.509156661679864,6.890399819123109,0.5908433383201359,0.0,0.0,0.0,0.0,0.0,0.0,241463.2541061499,241463.2541061499,0.0,0.0,0.0,0.0,0.0,,711.500278418122,155.66125045504802,555.8390279630739,34137.14797771453,18481.46291574313,52618.610893457655,6237.070784276574,59567.18195615235,0.05648148148148148,0.0,0.05648148148148148,0.0,6.0,True
LNG,Pump,FGSS 2 (Pump),simulation,profile_end,False,False,False,6.0,6.0,,,,,7.255386512079015,4.328250611629865,4.328250611629865,3.771749388370135,0.0,0.0,0.0,0.0,0.0,0.0,241463.2541061499,241463.2541061499,0.0,0.0,90.53032526250324,0.0,90.53032526250324,0.3749238185231494,0.0,0.0,0.0,34621.58769131213,18441.58689048606,53063.17458179819,6276.511147776337,59339.68572957452,0.0,0.0,0.0,0.0,6.0,True
LNG,Compressor,FGSS 3 (Compressor),simulation,profile_end,False,False,False,6.0,6.0,,,,,7.428391042189,2.0000345478289736,1.2237171029803584,6.099965452171026,9804.931200000003,9804.931200000003,0.0,9804.931200000003,0.0,0.0,241463.2541061499,241463.2541061499,0.0,0.0,96.86317829653557,458.39929259887253,555.2624708954081,2.299573377948881,0.0,0.0,0.0,34021.30350930953,17996.623746692985,52017.92725600251,5998.746300851789,58016.6735568543,0.0,0.0,0.0,0.0,6.0,True
