profile,system_key,configuration,source,termination_reason,heel_reached,mawp_exceeded,results_truncated_at_mawp,simulation_duration_days,voyage_simulation_duration_days,time_to_min_heel_days,elapsed_time_to_min_heel_days,voyage_time_to_min_heel_days,time_to_mawp_days,final_fill_pct,max_pressure_bar,pressure_at_termination_bar,pressure_margin_to_mawp_bar,total_bog_removed_kg,bog_used_as_fuel_kg,bog_excess_kg,bog_removed_lng_kg,bog_removed_conventional_kg,conventional_operation_days,requested_fuel_kg,fuel_supplied_kg,lng_supply_shortfall_kg,unserved_fuel_kg,pump_energy_kWh,compressor_energy_kWh,mechanical_energy_kWh,specific_mechanical_energy_kWh_per_t,pbu_thermal_energy_kWh,startup_pbu_thermal_energy_kWh,operational_pbu_thermal_energy_kWh,evaporator_evaporation_energy_kWh,evaporator_internal_superheat_energy_kWh,evaporator_thermal_energy_kWh,superheater_thermal_energy_kWh,total_process_thermal_energy_kWh,startup_time_days,pressure_recovery_time_days,pbu_pressurization_time_days,bog_balance_error_kg,planned_voyage_duration_days,completed_planned_window
dual-fuel,PBU,FGSS 1 (PBU),simulation,minimum_heel,True,False,False,9.555671296296296,9.499189814814814,9.555671296296296,9.555671296296296,9.499189814814814,,4.999886097392359,7.6001354733574695,7.034807792221582,0.4998645266425301,4994.8897619881545,0.0,4994.8897619881545,0.0,4994.8897619881545,3.4993055555555554,241459.99192373562,241459.99192373562,0.0,0.0,0.0,0.0,0.0,,690.6485683411007,155.66125045504802,534.9873178860527,33255.90732207825,18541.912475419067,51797.81979749733,6176.9816160661785,58665.44998190461,0.05648148148148148,0.0,0.05648148148148148,0.0,10.0,False
dual-fuel,Pump,FGSS 2 (Pump),simulation,profile_end,False,False,False,10.0,10.0,,,,,5.4157043301378,7.367806391309327,7.367710648267399,0.7321936086906726,3673.550719748329,0.3114604990499058,3673.2392592492793,0.3114604990499058,3673.2392592492793,4.0,241463.25410614986,241463.25410614986,0.0,0.0,77.27350065823211,0.0,77.27350065823211,0.3200217811371905,0.0,0.0,0.0,33730.02710854641,18506.48078018316,52236.50788872957,6212.32075243055,58448.828641160115,0.0,0.0,0.0,-4.547473508864641e-13,10.0,True
dual-fuel,Compressor,FGSS 3 (Compressor),simulation,profile_end,False,False,False,10.0,10.0,,,,,7.19536991102854,5.004170700427187,5.003456942398874,3.095829299572813,16431.536400000005,16431.536400000005,0.0,16431.536400000005,0.0,4.0,241463.25410614986,241463.25410614986,0.0,0.0,93.39670140826735,719.3147502290996,812.711451637367,3.365776936312182,0.0,0.0,0.0,32978.86199783364,17664.773655713987,50643.63565354764,5925.239766796176,56568.875420343815,0.0,0.0,0.0,0.0,10.0,True
