time_s,day,pressure_bar,fill_pct,liquid_flow_kg_per_h,vapor_flow_kg_per_h,bog_excess_kg
0,0.0,1.0,83.0,0.0,0.0,0.0
10,0.00011574074074074073,1.0017725846882544,82.99900906423693,-1174.3856691264,-0.0,0.0
20,0.00023148148148148146,1.0033675285813624,82.99801773240945,-1174.3856691264,-0.0,0.0
30,0.00034722222222222224,1.0049573779204273,82.9970264398428,-1174.3856691264,-0.0,0.0
40,0.0004629629629629629,1.0065421060163655,82.99603518687006,-1174.3856691264,-0.0,0.0
50,0.0005787037037037038,1.0081216880273687,82.99504397380569,-1174.3856691264,-0.0,0.0
60,0.0006944444444444445,1.0096961008154957,82.9940528009449,-1174.3856691264,-0.0,0.0
70,0.0008101851851851852,1.0112653228211679,82.99306166856655,-1174.3856691264,-0.0,0.0
80,0.0009259259259259259,1.0128293339522574,82.99207057693384,-1174.3856691264,-0.0,0.0
90,0.0010416666666666667,1.0143881154855934,82.99107952629487,-1174.3856691264,-0.0,0.0
100,0.0011574074074074076,1.0159416499791258,82.99008851688474,-1174.3856691264,-0.0,0.0
110,0.001273148148148148,1.0174899211929895,82.98909754892578,-1174.3856691264,-0.0,0.0
120,0.001388888888888889,1.0190329140183452,82.98810662262825,-1174.3856691264,-0.0,0.0
130,0.0015046296296296294,1.020570614412979,82.9871157381911,-1174.3856691264,-0.0,0.0
140,0.0016203703703703703,1.0221030093427577,82.98612489580287,-1174.3856691264,-0.0,0.0
150,0.001736111111111111,1.023630086728183,82.98513409564202,-1174.3856691264,-0.0,0.0
160,0.0018518518518518517,1.0251518353954612,82.9841433378774,-1174.3856691264,-0.0,0.0
170,0.001967592592592593,1.0266682450315823,82.98315262266883,-1174.3856691264,-0.0,0.0
180,0.0020833333333333333,1.0281793061429592,82.98216195016802,-1174.3856691264,-0.0,0.0
190,0.002199074074074074,1.0296850100171044,82.98117132051786,-1174.3856691264,-0.0,0.0
200,0.002314814814814815,1.0311853486872908,82.98018073385391,-1174.3856691264,-0.0,0.0
210,0.0024305555555555556,1.032680314899622,82.97919019030405,-1174.3856691264,-0.0,0.0
220,0.002546296296296296,1.0341699020824555,82.97819968998934,-1174.3856691264,-0.0,0.0
230,0.0026620370370370374,1.0356541043178016,82.9772092330235,-1174.3856691264,-0.0,0.0
240,0.002777777777777778,1.0371329163147216,82.97621881951436,-1174.3856691264,-0.0,0.0
250,0.002893518518518519,1.0386063333842699,82.97522844956305,-1174.3856691264,-0.0,0.0
260,0.003009259259259259,1.0400743514160715,82.97423812326471,-1174.3856691264,-0.0,0.0
270,0.0031249999999999997,1.0415369668563104,82.97324784070877,-1174.3856691264,-0.0,0.0
280,0.0032407407407407406,1.0429941766869704,82.97225760197912,-1174.3856691264,-0.0,0.0
290,0.003356481481481481,1.0444459784062405,82.97126740715387,-1174.3856691264,-0.0,0.0
300,0.003472222222222222,1.045892370010149,82.97027725630679,-1174.3856691264,-0.0,0.0
310,0.003587962962962963,1.047333349974922,82.96928714950543,-1174.3856691264,-0.0,0.0
320,0.0037037037037037034,1.0487689172406267,82.96829708681366,-1174.3856691264,-0.0,0.0
330,0.0038194444444444443,1.0501990711953375,82.96730706828995,-1174.3856691264,-0.0,0.0
340,0.003935185185185186,1.0516238116602792,82.96631709398822,-1174.3856691264,-0.0,0.0
350,0.004050925925925926,1.0530431388757127,82.9653271639585,-1174.3856691264,-0.0,0.0
360,0.004166666666666667,1.0544570534873723,82.96433727824605,-1174.3856691264,-0.0,0.0
370,0.0042824074074074075,1.0558655565336912,82.96334743689246,-1174.3856691264,-0.0,0.0
380,0.004398148148148148,1.0572686494334693,82.96235763993484,-1174.3856691264,-0.0,0.0
390,0.004513888888888889,1.0586663339742366,82.96136788740661,-1174.3856691264,-0.0,0.0
400,0.00462962962962963,1.060058612301044,82.96037817933751,-1174.3856691264,-0.0,0.0
410,0.00474537037037037,1.0614454869057581,82.95938851575352,-1174.3856691264,-0.0,0.0
420,0.004861111111111111,1.0628269606168146,82.9583988966771,-1174.3856691264,-0.0,0.0
430,0.004976851851851852,1.0642030365893993,82.95740932212725,-1174.3856691264,-0.0,0.0
440,0.005092592592592592,1.0655737182960199,82.9564197921196,-1174.3856691264,-0.0,0.0
450,0.005208333333333333,1.0669390095174474,82.95543030666647,-1174.3856691264,-0.0,0.0
460,0.005324074074074075,1.0682989143340484,82.95444086577712,-1174.3856691264,-0.0,0.0
470,0.005439814814814815,1.0696534371173405,82.95345146945697,-1174.3856691264,-0.0,0.0
480,0.005555555555555556,1.071002582522129,82.95246211770979,-1174.3856691264,-0.0,0.0
490,0.005671296296296296,1.0723463554785242,82.95147281053515,-1174.3856691264,-0.0,0.0
500,0.005787037037037038,1.0736847611846518,82.95048354793046,-1174.3856691264,-0.0,0.0
510,0.005902777777777778,1.0750178050993504,82.94949432988999,-1174.3856691264,-0.0,0.0
520,0.006018518518518518,1.0763454929351748,82.94850515640529,-1174.3856691264,-0.0,0.0
530,0.0061342592592592594,1.0776678306224234,82.94751602746567,-1174.3856691264,-0.0,0.0
540,0.0062499999999999995,1.0789848243617146,82.94652694305769,-1174.3856691264,-0.0,0.0
550,0.00636574074074074,1.080296480587964,82.94553790316516,-1174.3856691264,-0.0,0.0
560,0.006481481481481481,1.0816028059643055,82.94454890776895,-1174.3856691264,-0.0,0.0
570,0.006597222222222222,1.0829038073763415,82.94355995684857,-1174.3856691264,-0.0,0.0
580,0.006712962962962962,1.0841994919262858,82.94257105038027,-1174.3856691264,-0.0,0.0
590,0.006828703703703704,1.085489866927539,82.941582188338,-1174.3856691264,-0.0,0.0
600,0.006944444444444444,1.086774939899395,82.94059337069423,-1174.3856691264,-0.0,0.0
610,0.007060185185185184,1.0880547185617133,82.93960459741815,-1174.3856691264,-0.0,0.0
620,0.007175925925925926,1.0893292108300598,82.93861586847783,-1174.3856691264,-0.0,0.0
630,0.007291666666666666,1.0905984248106873,82.93762718383861,-1174.3856691264,-0.0,0.0
640,0.007407407407407407,1.0918623687958449,82.93663854346386,-1174.3856691264,-0.0,0.0
650,0.007523148148148148,1.0931210512591694,82.93564994731499,-1174.3856691264,-0.0,0.0
660,0.007638888888888889,1.0943744808511895,82.93466139535134,-1174.3856691264,-0.0,0.0
670,0.007754629629629629,1.0956226663950015,82.93367288753069,-1174.3856691264,-0.0,0.0
680,0.007870370370370371,1.0968656168819433,82.93268442380823,-1174.3856691264,-0.0,0.0
690,0.007986111111111112,1.0981033414675818,82.93169600413808,-1174.3856691264,-0.0,0.0
700,0.008101851851851851,1.0993358494675918,82.93070762847209,-1174.3856691264,-0.0,0.0
710,0.008217592592592594,1.1005631503538904,82.92971929676047,-1174.3856691264,-0.0,0.0
720,0.008333333333333333,1.1017852537508077,82.92873100895176,-1174.3856691264,-0.0,0.0
730,0.008449074074074074,1.1030021694313366,82.9277427649924,-1174.3856691264,-0.0,0.0
740,0.008564814814814815,1.104213907313581,82.92675456482785,-1174.3856691264,-0.0,0.0
