time_s,day,pressure_bar,fill_pct,liquid_flow_kg_per_h,vapor_flow_kg_per_h,bog_excess_kg
0.0,0.0,1.0,83.0,-0.0,-0.0,
10.0,0.00011574074074074075,1.017806892663538,82.99927790222367,895.8551910009564,-895.8551910009564,
20.0,0.0002314814814814815,1.0354077872110181,82.99855693563086,894.2517038518592,-894.2517038518592,
30.0,0.00034722222222222224,1.0529750123141415,82.9978375027899,892.6914557166261,-892.6914557166261,
40.0,0.000462962962962963,1.0705084023555962,82.99711958451091,891.1578828685126,-891.1578828685126,
50.0,0.0005787037037037037,1.0880078695674953,82.99640316150726,889.6501251971576,-889.6501251971576,
60.0,0.0006944444444444445,1.1054733853889855,82.99568821456357,888.1673584805138,-888.1673584805138,
70.0,0.0008101851851851852,1.1229049675112974,82.99497472463942,886.7087936325032,-886.7087936325032,
80.0,0.000925925925925926,1.140302670456638,82.99426267293643,885.2736755331524,-885.2736755331524,
90.0,0.0010416666666666667,1.1576665784892155,82.99355204094314,883.8612816588335,-883.8612816588335,
100.0,0.0011574074074074073,1.1749968001382092,82.99284281046268,882.4709206280137,-882.4709206280137,
110.0,0.0012731481481481483,1.1922934638767408,82.99213496363025,881.1019307291498,-881.1019307291498,
120.0,0.001388888888888889,1.2095567146547248,82.99142848292416,879.7536784674218,-879.7536784674218,
130.0,0.0015046296296296296,1.2267867110776685,82.99072335117033,878.4255571531071,-878.4255571531071,
140.0,0.0016203703703703703,1.2439836230845063,82.9900195515441,877.1169855435904,-877.1169855435904,
150.0,0.001736111111111111,1.2611476300171973,82.98931706756841,875.8274065456848,-875.8274065456848,
160.0,0.001851851851851852,1.2782789190028556,82.98861588311156,874.5562859817184,-874.5562859817184,
170.0,0.0019675925925925924,1.2953776835878066,82.98791598238144,873.3031114186442,-873.3031114186442,
180.0,0.0020833333333333333,1.31244412257754,82.98721734992037,872.0673910608344,-872.0673910608344,
190.0,0.002199074074074074,1.3294784390461645,82.98651997059851,870.8486527034843,-870.8486527034843,
200.0,0.0023148148148148147,1.3464808394868428,82.98582382960757,869.6464427453928,-869.6464427453928,
210.0,0.0024305555555555556,1.3634515330799966,82.98512891245208,868.4603252569789,-868.4603252569789,
